iter	Passed	Remaining
0	139	139315
1	142	71336
2	146	48691
3	149	37323
4	153	30484
5	156	25969
6	160	22711
7	163	20322
8	167	18435
9	170	16919
10	174	15704
11	178	14675
12	181	13789
13	185	13061
14	188	12386
15	192	11818
16	195	11304
17	199	10874
18	202	10432
19	206	10105
20	209	9789
21	213	9498
22	217	9234
23	221	9007
24	225	8810
25	229	8583
26	232	8392
27	236	8219
28	240	8055
29	244	7896
30	247	7744
31	251	7613
32	255	7492
33	259	7368
34	263	7257
35	266	7142
36	268	6983
37	272	6901
38	276	6812
39	280	6728
40	283	6639
41	287	6558
42	291	6479
43	293	6372
44	297	6310
45	301	6248
46	305	6187
47	308	6126
48	312	6067
49	316	6006
50	319	5948
51	323	5892
52	327	5844
53	330	5795
54	334	5748
55	338	5703
56	342	5661
57	346	5625
58	350	5583
59	354	5556
60	358	5513
61	361	5470
62	365	5433
63	369	5401
64	372	5364
65	376	5331
66	380	5299
67	384	5269
68	388	5237
69	392	5208
70	396	5185
71	400	5162
72	404	5135
73	408	5113
74	412	5084
75	416	5058
76	419	5031
77	423	5002
78	426	4977
79	430	4954
80	434	4934
81	436	4890
82	440	4868
83	444	4852
84	449	4833
85	452	4812
86	456	4790
87	459	4767
88	463	4744
89	467	4725
90	471	4706
91	474	4687
92	478	4666
93	482	4647
94	486	4630
95	489	4613
96	493	4598
97	497	4580
98	501	4562
99	504	4544
100	509	4531
101	512	4515
102	516	4498
103	518	4463
104	522	4454
105	526	4439
106	530	4423
107	533	4409
108	537	4396
109	542	4387
110	545	4370
111	549	4354
112	553	4342
113	557	4330
114	561	4317
115	564	4302
116	568	4290
117	572	4276
118	575	4263
119	579	4251
120	584	4244
121	588	4234
122	592	4225
123	596	4213
124	600	4200
125	604	4190
126	607	4178
127	610	4162
128	614	4150
129	619	4143
130	622	4131
131	626	4119
132	630	4110
133	634	4098
134	638	4089
135	641	4078
136	645	4066
137	649	4056
138	650	4032
1139	668	41071140	672	40981141	676	40871142	680	40781143	684	40671144	687	40561145	691	4044146	681	3955
147	685	3945
148	689	3936
149	693	3930
150	697	3921
151	701	3913
152	705	3908
153	710	3905
154	715	3899
155	719	3891
156	723	3883
157	726	3874
158	730	3865
159	734	3858
160	739	3853
161	743	3845
162	747	3836
163	750	3827
164	752	3808
165	754	3789
166	757	3779
167	761	3771
168	765	3764
169	769	3759
170	773	3750
171	777	3743
172	781	3737
173	786	3733
174	790	3725
175	795	3722
176	799	3715
177	803	3711
178	807	3704
179	811	3696
180	814	3684
181	818	3678
182	823	3675
183	827	3668
184	831	3661
185	834	3653
186	838	3646
187	842	3639
188	846	3630
189	850	3623
190	854	3621
191	858	3614
192	863	3609
193	867	3603
194	871	3597
195	875	3592
196	880	3588
197	883	3580
198	887	3572
199	891	3564
200	895	3558
201	898	3551
2202	917	36032203	921	35952204	925	35892205	929	35812206	933	35742207	937	35682208	941	35622209	945	35562210	950	35522211	954	35462212	957	35392213	962	35332214	966	35272215	970	35202216	974	35152217	978	35092218	982	35032219	986	34972220	990	34912221	994	34852222	998	34772223	1001	34722224	1006	34225225	1009	3226	226	1013	227	1227	1016	228	1228	1020	229	1229	1024	230	1230	1029	231	1231	1033	232	1232	1037	233	1233	1041	234	1234	1045	235	1235	1048	236	1236	1052	237	1237	1056	238	1238	1059	239	1239	1063	240	1240	1067	241	1241	1071	242	1242	1075	243	1243	1079	244	1244	1083	245	1245	1087	246	1246	1090	247	1247	1094	248	1248	1098	249	1249	1102	250	1250	1105	251	1251	1109	252	1252	1113	253	1253	1117	254	1254	1120	255	1255	1124	256	1256	1128	257	1257	1131	258	1258	1135	259	1259	1139	260	1260	1143	261	1261	1147	262	1262	1151	263	1263	1155	264	1264	1159	265	1265	1164	266	1266	1168	267	1267	1171	268	1268	1175	269	1269	1179	270	1270	1183	271	1271	1187	272	1272	1191	273	1273	1195	274	1274	1198	275	1275	1202	276	1276	1206	277	1277	1210	278	1278	1213	279	1279	1217	280	1280	1221	281	1281	1225	282	1282	1228	283	1283	1232	284	1284	1236	285	1285	1240	286	1286	1245	287	1287	1249	288	1288	1253	289	1289	1257	290	1290	1261	291	1291	1265	292	1292	1268	293	1293	1273	294	1294	1276	295	1295	1280	296	1296	1284	297	1297	1288	298	1298	1292	299	1299	1295	300	1300	1299	301	1301	1303	302	1302	1307	303	1303	1311	304	1304	1314	2996
305	1318	2990
306	1322	2985
307	1326	2979
308	1329	2973
309	1333	2968
310	1337	2963
311	1341	2958
312	1345	2953
313	1349	2949
314	1354	2945
315	1358	2940
316	1362	2935
317	1366	2929
318	1369	2924
319	1373	2919
320	1377	2914
321	1381	2909
322	1385	2904
323	1389	2899
324	1393	2895
325	1398	2890
326	1402	2886
327	1406	2881
328	1410	2876
329	1414	2871
330	1417	2865
331	1421	2860
332	1425	2855
333	1429	2849
334	1432	2844
335	1437	2839
336	1441	2835
337	1444	2829
338	1448	2824
339	1452	2820
340	1456	2815
341	1460	2810
342	1464	2805
343	1468	2800
344	1472	2796
345	1476	2791
346	1480	2786
347	1484	2781
348	1488	2776
349	1492	2771
350	1495	2766
351	1500	2761
352	1503	2756
353	1507	2751
354	1511	2746
355	1515	2741
356	1519	2736
357	1523	2732
358	1527	2727
359	1531	2722
360	1535	2717
361	1538	2711
362	1542	2707
363	1546	2702
364	1551	2698
365	1555	2695
366	1560	2691
367	1564	2686
368	1568	2681
369	1572	2677
370	1576	2672
371	1580	2668
372	1584	2663
373	1588	2658
374	1591	2653
375	1595	2648
376	1599	2643
377	1602	2636
378	1606	2632
379	1610	2627
380	1614	2623
381	1618	2618
382	1623	2614
383	1626	2609
384	1630	2605
385	1634	2599
386	1638	2595
387	1642	2590
388	1645	2585
389	1649	2580
390	1653	2575
391	1657	2571
392	1661	2566
393	1665	2561
394	1669	2557
395	1673	2552
396	1677	2548
397	1681	2543
398	1685	2538
399	1689	2534
400	1693	2530
401	1697	2525
402	1701	2520
403	1704	2515
404	1708	2510
405	1712	2505
406	1716	2500
407	1719	2495
408	1723	2490
409	1728	2486
410	1732	2482
411	1735	2476
412	1739	2472
413	1743	2467
414	1747	2463
415	1751	2459
416	1755	2454
417	1759	2450
418	1763	2445
419	1767	2440
420	1771	2436
421	1775	2431
422	1779	2427
423	1783	2422
424	1787	2418
425	1791	2413
426	1795	2409
427	1799	2404
428	1802	2399
429	1807	2395
430	1810	2390
431	1814	2385
432	1818	2381
433	1822	2377
434	1826	2372
435	1830	2367
436	1833	2362
437	1837	2357
438	1841	2352
439	1845	2348
440	1848	2343
441	1852	2339
442	1856	2334
443	1860	2329
444	1864	2324
445	1867	2320
446	1871	2315
447	1875	2310
448	1879	2306
449	1883	2301
450	1886	2296
451	1890	2292
452	1894	2287
453	1898	2283
454	1902	2278
455	1906	2274
456	1910	2269
457	1914	2265
458	1917	2260
459	1921	2255
460	1925	2251
461	1929	2246
462	1933	2242
463	1937	2237
464	1940	2232
465	1944	2228
466	1949	2224
467	1953	2220
468	1957	2216
469	1962	2212
470	1965	2208
471	1969	2203
472	1974	2199
473	1978	2194
474	1981	2189
475	1982	476	1476	1987	477	1477	1990	478	1478	1994	479	1479	1998	480	1480	2002	481	1481	2006	482	1482	2010	483	1483	2013	484	1484	2017	485	2485	2021	486	2486	2026	2134
487	2030	2129
488	2034	2125
489	2037	2121
490	2041	2116
491	2046	2112
492	2050	2108
493	2054	2104
494	2058	2100
495	2062	2096
496	2067	2092
497	2071	2088
498	2075	2083
499	2079	2079
500	2083	2074
501	2087	2070
502	2091	2066
503	2095	2062
504	2099	2057
505	2103	2053
506	2107	2049
507	2111	2044
508	2115	2040
509	2119	2036
510	2123	2031
511	2127	2027
512	2131	2023
513	2135	2018
514	2138	2014
515	2143	2010
516	2147	2006
517	2151	2001
518	2155	1997
519	2158	1992
520	2162	1988
521	2166	1983
522	2170	1979
523	2174	1974
524	2178	1970
525	2181	1966
526	2186	1962
527	2189	1957
528	2193	1953
529	2197	1948
530	2201	1944
531	2204	1939
532	2209	1935
533	2212	1931
534	2216	1926
535	2220	1922
536	2224	1918
537	2228	1914
538	2232	1909
539	2236	1904
540	2240	1900
541	2244	1896
542	2248	1892
543	2252	1887
544	2255	1883
545	2259	1878
546	2263	1874
547	2266	1869
548	2270	1865
549	2274	1861
550	2279	1857
551	2283	1853
552	2286	1848
553	2290	1844
554	2294	1840
555	2298	1835
556	2303	1831
557	2306	1827
558	2310	1822
559	2313	1818
560	2317	1813
561	2321	1809
562	2325	1804
563	2329	1800
564	2333	1796
565	2337	1792
566	2341	1788
567	2345	1783
568	2349	1779
569	2353	1775
570	2357	1770
571	2361	1766
572	2365	1762
573	2368	1758
574	2372	1753
575	2376	1749
576	2379	1744
577	2383	1740
578	2387	1735
579	2391	1731
580	2395	1727
581	2399	1723
582	2403	1718
583	2406	1714
584	2410	1710
585	2414	1706
586	2418	1701
587	2422	1697
588	2426	1693
589	2430	1688
590	2434	1684
591	2438	1680
592	2442	1676
593	2446	1672
594	2450	1667
595	2453	1663
596	2457	1658
597	2461	1654
598	2465	1650
599	2468	1645
600	2472	1641
601	2476	1637
602	2480	1632
603	2484	1628
604	2487	1624
605	2491	1619
606	2495	1615
607	2498	1611
608	2502	1606
609	2506	1602
610	2510	1598
611	2514	1594
612	2518	1589
613	2522	1585
614	2526	1581
615	2530	1577
616	2534	1573
617	2538	1569
618	2542	1564
619	2546	1560
620	2550	1556
621	2554	1552
622	2557	1547
623	2561	1543
624	2565	1539
625	2569	1534
626	2573	1530
627	2576	1526
628	2580	1522
629	2584	1517
630	2588	1513
631	2592	1509
632	2596	1505
633	2600	1501
634	2604	1496
635	2608	1492
636	2612	1488
637	2616	1484
638	2620	1480
639	2624	1476
640	2628	1472
641	2632	1467
642	2635	1463
643	2639	1458
644	2643	1454
645	2646	1450
646	2650	1446
647	2654	1442
648	2658	1437
649	2661	1433
650	2665	1429
651	2669	1424
652	2673	1420
653	2676	1416
654	2680	1411
655	2684	1407
656	2688	1403
657	2691	1399
658	2708	1401
659	2712	1397
660	2715	1392
661	2719	1388
662	2710	1377
663	2727	1380
664	2731	1375
665	2735	1371
666	2739	1367
667	2743	1363
668	2746	1359
669	2750	1354
670	2754	1350
671	2758	1346
672	2762	1342
673	2766	1338
674	2770	1334
675	2774	1329
676	2778	1325
677	2782	1321
678	2785	1317
679	2789	1312
680	2793	1308
681	2798	1304
682	2801	1300
683	2806	1296
684	2810	1292
685	2814	1288
686	2818	1283
687	2822	1279
688	2826	1275
689	2830	1271
690	2833	1267
691	2837	1262
692	2841	1258
693	2845	1254
694	2849	1250
695	2853	1246
696	2857	1242
697	2861	1238
698	2865	1234
699	2869	1229
700	2873	1225
701	2877	1221
702	2881	1217
703	2885	1213
704	2888	1208
705	2892	1204
706	2896	1200
707	2900	1196
708	2904	1192
709	2908	1187
710	2912	1183
711	2916	1179
712	2920	1175
713	2924	1171
714	2927	1167
715	2931	1162
716	2935	1158
717	2939	1154
718	2942	1150
719	2946	1145
720	2950	1141
721	2955	1137
722	2959	1133
723	2964	1129
724	2968	1125
725	2972	1121
726	2976	1117
727	2980	1113
728	2984	1109
729	2987	1105
730	2991	1100
731	2995	1096
732	2999	1092
733	3003	1088
734	3008	1084
735	3011	1080
736	3015	1076
737	3020	1072
738	3024	1068
739	3027	1063
740	3031	1059
741	3036	1055
742	3040	1051
743	3044	1047
744	3048	1043
745	3052	1039
746	3057	1035
747	3061	1031
748	3065	1027
749	3068	1022
750	3072	1018
751	3076	1014
752	3079	1010
753	3084	1006
754	3088	1002
755	3092	998
756	3096	994
757	3100	989
758	3104	985
759	3108	981
760	3112	977
761	3116	973
762	3119	969
763	3123	964
764	3127	960
765	3131	956
766	3135	952
767	3139	948
768	3144	944
769	3148	940
770	3152	936
771	3156	932
772	3160	928
773	3164	923
774	3168	919
775	3172	915
776	3176	911
777	3180	907
778	3184	903
779	3188	899
780	3192	895
781	3196	891
782	3199	886
783	3204	882
784	3208	878
785	3211	874
786	3216	870
787	3219	866
788	3223	862
789	3227	858
790	3231	853
791	3235	849
792	3239	845
793	3243	841
794	3247	837
795	3251	833
796	3254	829
797	3258	824
798	3263	820
799	3267	816
800	3271	812
801	3275	808
802	3279	804
803	3282	800
804	3286	796
805	3290	791
806	3294	787
807	3298	783
808	3302	779
809	3306	775
810	3310	771
811	3315	767
812	3319	763
813	3323	759
814	3327	755
815	3331	751
816	3335	747
817	3339	743
818	3344	739
819	3348	735
820	3352	730
821	3356	726
822	3360	722
823	3364	718
824	3368	714
825	3372	710
826	3376	706
827	3380	702
828	3384	698
829	3388	694
830	3392	689
831	3396	685
832	3400	681
833	3404	677
834	3408	673
835	3412	669
836	3416	665
837	3420	661
838	3424	657
839	3428	653
840	3432	648
841	3436	644
842	3440	640
843	3444	636
844	3448	632
845	3452	628
846	3456	624
847	3460	620
848	3465	616
849	3469	612
850	3473	608
851	3477	604
852	3481	599
853	3485	595
854	3489	591
855	3492	587
856	3496	583
857	3501	579
858	3504	575
859	3508	571
860	3511	566
861	3515	562
862	3519	558
863	3523	554
864	3527	550
865	3531	546
866	3535	542
867	3539	538
868	3543	534
869	3547	530
870	3552	526
871	3555	521
872	3559	517
873	3563	513
874	3566	509
875	3570	505
876	3574	501
877	3578	497
878	3582	493
879	3586	489
880	3590	484
881	3594	480
882	3598	476
883	3602	472
884	3606	468
885	3611	464
886	3615	460
887	3619	456
888	3623	452
889	3627	448
890	3631	444
891	3635	440
892	3639	436
893	3643	431
894	3646	427
895	3650	423
896	3654	419
897	3658	415
898	3662	411
899	3666	407
900	3670	403
901	3673	399
902	3677	395
903	3681	390
904	3685	386
905	3689	382
906	3693	378
907	3697	374
908	3701	370
909	3705	366
910	3709	362
911	3712	358
912	3716	354
913	3720	350
914	3724	345
915	3728	341
916	3732	337
917	3736	333
918	3739	329
919	3743	325
920	3748	321
921	3752	317
922	3757	313
923	3761	309
924	3765	305
925	3769	301
926	3773	297
927	3778	293
928	3782	289
929	3786	284
930	3789	280
931	3793	276
932	3797	272
933	3802	268
934	3806	264
935	3810	260
936	3814	256
937	3818	252
938	3822	248
939	3826	244
940	3833	240
941	3837	236
942	3841	232
943	3846	228
944	3850	224
945	3854	220
946	3859	215
947	3863	211
948	3867	207
949	3871	203
950	3875	199
951	3879	195
952	3884	191
953	3888	187
954	3892	183
955	3896	179
956	3900	175
957	3904	171
958	3908	167
959	3912	163
960	3917	158
961	3921	154
962	3925	150
963	3929	146
964	3933	142
965	3938	138
966	3942	134
967	3947	130
968	3952	126
969	3956	122
970	3960	118
971	3964	114
972	3967	110
973	3971	106
974	3975	101
975	3979	97
976	3984	93
977	3988	89
978	3991	85
979	3995	81
980	3999	77
981	4002	73
982	4005	69
983	4009	65
984	4012	61
985	4015	57
986	4018	52
987	4021	48
988	4025	44
989	4028	40
990	4031	36
991	4035	32
992	4038	28
993	4042	24
994	4045	20
995	4048	16
996	4052	12
997	4055	8
998	4058	4
999	4061	0
